Skill,Count,Normalized_Count
machine learning,262,10
python,252,9.655172414
data science,198,7.793103448
data analysis,144,5.931034483
deep learning,143,5.896551724
natural language processing,141,5.827586207
data visualization,126,5.310344828
artificial intelligence,93,4.172413793
sql,82,3.793103448
computer vision,74,3.517241379
data analytics,71,3.413793103
data mining,69,3.344827586
statistics,52,2.75862069
generative ai,50,2.689655172
pandas,47,2.586206897
mysql,44,2.482758621
statistical data analysis,43,2.448275862
analytical skills,38,2.275862069
machine learning algorithms,31,2.034482759
tensorflow,31,2.034482759
analytics,31,2.034482759
predictive analytics,31,2.034482759
artificial neural networks,28,1.931034483
web scraping,27,1.896551724
microsoft power bi,27,1.896551724
exploratory data analysis,25,1.827586207
time series analysis,25,1.827586207
business intelligence,25,1.827586207
r,24,1.793103448
neural networks,24,1.793103448
predictive modeling,23,1.75862069
data cleaning,23,1.75862069
time series forecasting,23,1.75862069
large language models,23,1.75862069
statistical modeling,22,1.724137931
big data,22,1.724137931
text analytics,21,1.689655172
data modeling,21,1.689655172
convolutional neural networks,18,1.586206897
image processing,18,1.586206897
opencv,18,1.586206897
supervised learning,17,1.551724138
unsupervised learning,17,1.551724138
big data analytics,15,1.482758621
data warehousing,14,1.448275862
data structures,13,1.413793103
nosql,13,1.413793103
business analytics,13,1.413793103
keras,12,1.379310345
project management,12,1.379310345
deep neural networks,12,1.379310345
data preparation,12,1.379310345
data engineering,11,1.344827586
numpy,11,1.344827586
mongodb,11,1.344827586
sentiment analysis,10,1.310344828
data analysisdata analysis,9,1.275862069
data scientist,9,1.275862069
probability,9,1.275862069
risk analytics,9,1.275862069
data collection,9,1.275862069
pytorch,9,1.275862069
associate - data scientist,9,1.275862069
data management,9,1.275862069
team management,8,1.24137931
scikit-learn,8,1.24137931
decision trees,8,1.24137931
selenium,7,1.206896552
random forest,7,1.206896552
linear regression,7,1.206896552
k-nearest neighbors,7,1.206896552
matplotlib,7,1.206896552
software development,6,1.172413793
web development,6,1.172413793
nlp,6,1.172413793
microsoft powerpoint,6,1.172413793
statistical analysis,6,1.172413793
dataanalysispython,6,1.172413793
azure sql,6,1.172413793
model building,6,1.172413793
feature engineering,6,1.172413793
digital image processing,6,1.172413793
databases,5,1.137931034
data scientists,5,1.137931034
hadoop,5,1.137931034
analytical techniques,5,1.137931034
agile methodologies,5,1.137931034
linear programming,5,1.137931034
sqldata science,5,1.137931034
data scrapingdata scrapinweb scrapingnatural language processing,5,1.137931034
data manipulation,5,1.137931034
genrative ai,4,1.103448276
business data management,4,1.103448276
gpt-4,4,1.103448276
postgresqlnatural language processing,4,1.103448276
seaborn,4,1.103448276
open cv,4,1.103448276
openai products,4,1.103448276
prompt engineering,4,1.103448276
quality assurance,3,1.068965517
data processing,3,1.068965517
pyspark,3,1.068965517
regression analysis,3,1.068965517
nltk,3,1.068965517
missing data,3,1.068965517
mathematical modeling,3,1.068965517
pattern recognition,3,1.068965517
python programming,3,1.068965517
azure databricks,3,1.068965517
pl/sql,3,1.068965517
business development,3,1.068965517
data visualizationdeep learningsql,3,1.068965517
algorithms,3,1.068965517
data structures and algorithms,3,1.068965517
selenium webdriver,3,1.068965517
artificial intelligene,3,1.068965517
pivot tables,3,1.068965517
load,3,1.068965517
cbusiness analysis,3,1.068965517
transform,3,1.068965517
extract,3,1.068965517
pandasdata science,3,1.068965517
database management system,3,1.068965517
web crawling,3,1.068965517
tensorflow lite,3,1.068965517
data cleaning & modeling,3,1.068965517
data visualization & storytelling,3,1.068965517
power bi,3,1.068965517
google data studio,3,1.068965517
chatbot development,2,1.034482759
statisticspython,2,1.034482759
postgresql,2,1.034482759
pandasartificial intelligence,2,1.034482759
ml,2,1.034482759
aritficial neural networks,2,1.034482759
anaconda,2,1.034482759
robot framework,2,1.034482759
pythonmysql,2,1.034482759
ai and machine learning,2,1.034482759
tableau,2,1.034482759
pythonsql,2,1.034482759
deeplearning,2,1.034482759
image processingimage processing1 endorsement,2,1.034482759
text miningsql,2,1.034482759
prescriptive analytics,2,1.034482759
applied mathematics,2,1.034482759
analysis,2,1.034482759
product development,2,1.034482759
applied machine learning,2,1.034482759
quantitative analytics,2,1.034482759
design thinking,2,1.034482759
decision-making,2,1.034482759
business requirements,2,1.034482759
regression,2,1.034482759
problem solving,2,1.034482759
jio institutebusiness analytics,2,1.034482759
excel,2,1.034482759
powerbi,2,1.034482759
artificial intelligencestatistics,2,1.034482759
data pipelines,2,1.034482759
api development,2,1.034482759
statistical concepts,2,1.034482759
google cloud platform,2,1.034482759
text mining,1,1
data extraction,1,1
generative ai tools,1,1
generativeai,1,1
buisness analysis,1,1
business analysis,1,1
datamodeling,1,1
database analysis,1,1
vision science,1,1
deep learning statistics,1,1
data scraping,1,1
google bigquery,1,1
pythonprogramminglanguage),1,1
datascience,1,1
machinelearning,1,1
promptengineering,1,1
code generation,1,1
